Date,1,5,9,13,17
2012-11-02,0.7243816254416956,0.0,0.0,0.0,0.0
2012-11-05,0.01612903225806701,0.0,0.0,0.0,0.0
2012-11-06,0.35294117647059,0.0,0.0,0.0,0.0
2012-11-07,0.5999999999999973,0.0,0.0,0.0,0.0
2012-11-08,0.28476821192053,0.2290502793296091,0.0,0.0,0.0
2012-11-09,0.38235294117646995,0.582236842105262,0.0,0.0,0.0
2012-11-12,0.40594059405940336,0.6916666666666657,0.0,0.0,0.0
2012-11-13,0.11842105263158319,0.5472636815920411,0.0,0.0,0.0
2012-11-14,0.3279999999999973,0.17826086956521614,0.14245810055865873,0.0,0.0
2012-11-15,0.261904761904761,0.1341463414634139,0.1064516129032252,0.0,0.0
2012-11-16,0.49999999999999756,0.20621468926553588,0.19836956521739046,0.0,0.0
2012-11-19,0.7395833333333336,0.20056497175141252,0.187830687830688,0.0,0.0
2012-11-20,0.5000000000000032,0.17857142857142963,0.13317191283293073,0.10357815442561281,0.0
2012-11-21,0.6346153846153911,0.17406143344710073,0.12348668280871787,0.1069182389937117,0.0
2012-11-23,0.23076923076921396,0.07329842931937189,0.03508771929824574,0.03389830508474588,0.0
2012-11-26,0.11643835616438222,0.08478802992518615,0.05159332321699489,0.04978038067349874,0.0
2012-11-27,0.7948717948717935,0.6710526315789471,0.4411764705882347,0.37335285505124416,0.31835205992509336
2012-11-28,0.022727272727273585,0.42058823529411776,0.2539964476021316,0.20937042459736457,0.19143239625167335
2012-11-29,0.2187500000000007,0.43749999999999956,0.2885032537960951,0.19880418535127037,0.19472913616398224
2012-11-30,0.8125,0.47194719471947166,0.3566084788029926,0.2169954476479514,0.20937042459736457
2012-12-03,0.7586206896551707,0.4262948207171307,0.4184210526315783,0.27508650519031075,0.2327964860907755
2012-12-04,0.0,0.5045454545454536,0.4794117647058812,0.28952042628774366,0.23865300146412824
2012-12-05,0.8391608391608413,0.8872549019607858,0.7664473684210523,0.5054229934924075,0.3482810164424513
2012-12-06,0.18543046357615994,0.46982758620689796,0.531353135313531,0.40149625935162103,0.2443095599393019
2012-12-07,0.8636363636363592,0.3455497382198941,0.4262948207171307,0.4184210526315783,0.27508650519031075
2012-12-10,0.8434782608695652,0.4898989898989901,0.564655172413794,0.5382352941176468,0.32504440497335696
2012-12-11,0.7818181818181803,0.7121212121212115,0.7543103448275861,0.7467105263157884,0.49240780911062826
2012-12-12,0.25384615384615716,0.39393939393939514,0.4827586206896571,0.5412541254125413,0.408977556109726
2012-12-13,0.45512820512820606,0.6018735362997665,0.6018735362997665,0.6312364425162699,0.6686159844054587
2012-12-14,0.953488372093027,0.6932084309133498,0.6932084309133498,0.7158351409978319,0.7446393762183243
